u	C	S
-0.970970970971	-0.7785834086639171	-0.4092694703329975
-0.950950950951	-0.7761831912122941	-0.389396922337303
-0.930930930931	-0.7725993780202649	-0.3697032553306333
-0.910910910911	-0.7678692583871346	-0.35025293067795843
-0.890890890891	-0.762033135419791	-0.33110525073017233
-0.870870870871	-0.7551338027808799	-0.3123143513423453
-0.850850850851	-0.7472160482060216	-0.2939292361861536
-0.830830830831	-0.738326185814498	-0.27599384815648775
-0.810810810811	-0.7285116186971853	-0.25854717329091415
-0.790790790791	-0.7178204327729174	-0.24162337278112375
-0.770770770771	-0.7063010224604498	-0.22525193885013567
-0.750750750751	-0.694001748317403	-0.2094578704907622
-0.730730730731	-0.6809706264490597	-0.19426186530320422
-0.710710710711	-0.6672550491871023	-0.17968052392673847
-0.690690690691	-0.6529015362793669	-0.16572656382700518
-0.670670670671	-0.637955515614079	-0.15240903947172482
-0.650650650651	-0.6224611323232677	-0.13973356619967267
-0.630630630631	-0.6064610849673062	-0.12770254535689357
-0.610610610611	-0.589996487392933	-0.11631538853745939
-0.590590590591	-0.5731067547776737	-0.10556873902106736
-0.570570570571	-0.5558295123213861	-0.09545668874444035
-0.550550550551	-0.5382005250177403	-0.08597098937622667
-0.530530530531	-0.520253646932006	-0.0771012562847208
-0.510510510511	-0.5020207884238009	-0.06883516439339075
-0.49049049049	-0.48353189978187316	-0.06115863511037812
-0.47047047047	-0.4648149697800773	-0.05405601369457686
-0.45045045045	-0.4458960377171952	-0.04751023658258757
-0.43043043043	-0.42679921756600087	-0.041502988347970296
-0.41041041041	-0.40754673292705457	-0.03601484809714752
-0.39039039039	-0.38815896155834817	-0.031025425225542868
-0.37037037037	-0.36865448833152015	-0.026513484563697644
-0.35035035035	-0.34905016554747836	-0.022457061036896257
-0.33033033033	-0.32936117962765005	-0.018833564044025457
-0.31031031031	-0.30960112328058875	-0.015619871832811454
-0.29029029029	-0.2897820723263487	-0.012792416210072337
-0.27027027027	-0.26991466644203166	-0.010327257978050876
-0.25025025025	-0.2500081931705079	-0.00820015353211463
-0.23023023023	-0.23007067460990138	-0.006386613091973696
-0.21021021021	-0.21010895627349882	-0.004861951068895062
-0.19019019019	-0.19012879767787588	-0.0036013290959801794
-0.17017017017	-0.1701349642808922	-0.0025797922681744987
-0.15015015015	-0.1501313204505144	-0.0017722991540065215
-0.13013013013	-0.13012092319997615	-0.0011537461527740774
-0.11011011011	-0.11010611647440788	-0.0006989867796200456
-0.0900900900901	-0.0900886258186486	-0.0003828464672281826
-0.0700700700701	-0.0700696532953993	-0.00018013347722524065
-0.0500500500501	-0.05004997255713048	-6.564651724434424e-05
-0.03003003003	-0.030030024004176835	-1.4179661374203002e-05
-0.01001001001	-0.010010009985212256	-5.251727178323081e-07
0.01001001001	0.010010009985212256	5.251727178323081e-07
